Constituency,Caste Category,Winner_Political_Party,Winner_Votes,RunnerUp_Political_Party,RunnerUp_Votes,Margin_Winner_VS_RunnerUp_Votes,Others_Votes,Total_Votes_Pooled,Total_Electors,Margin_Electors_VS_Pooled,Religion_won,,,,,,,,,
MumbaiNorthEast,GEN,BharatiyaJanataParty,514599,NationalistCongressParty,288113,226486,41155,843867,862047,18180,Hindu,,,,,,,,,
MumbaiNorthWest,GEN,ShivSena,57063,INC,309735,260328,30145,396943,449266,52323,Hindu,,,,,,,,,
MumbaiSouth,GEN,ShivSena,421937,INC,321870,100067,44837,788644,799826,11182,Hindu,,,,,,,,,
MumbaiSouthCentral,GEN,ShivSena,424913,INC,272774,152139,19887,717574,735351,17777,Hindu,,,,,,,,,
Munger,GEN,JanataDal,528762,INC,360825,167937,27693,917280,975779,58499,Christian,,,,,,,,,
Murshidabad,GEN,TMC,64346,INC,377929,226417,12744,455019,481984,26965,Muslim,,,,,,,,,
Muzaffarnagar,GEN,BharatiyaJanataParty,573780,RashtriyaLokDal,567254,6526,24719,1165753,1180390,14637,Hindu,,,,,,,,,
Muzaffarpur,GEN,BharatiyaJanataParty,666878,VikassheelInsaanParty,256890,409988,12720,936488,992802,56314,Others,,,,,,,,,
Mysore,GEN,BharatiyaJanataParty,688974,INC,550327,138647,28519,1267820,1293023,25203,Hindu,,,,,,,,,
Nabarangpur,ST,BijuJanataDal,392504,INC,350870,41634,48319,791693,841568,49875,Others,,,,,,,,,
Nagaland,ST,NationalistDemocraticProgressiveParty,50510,INC,484166,16344,30196,564872,608497,43625,Muslim,,,,,,,,,
Nagapattinam,SC,CommunistPartyofIndia,522892,AllIndiaAnnaDravidaMunnetraKazhagam,311539,211353,12009,846440,876172,29732,Hindu,,,,,,,,,
Nagarkurnool,SC,TelanganaRashtraSamithi,499672,INC,309924,189748,13323,822919,860181,37262,Christian,,,,,,,,,
Nagaur,GEN,RashtriyaLoktantrikParty,66051,INC,478791,181260,44479,589321,637591,48270,Others,,,,,,,,,
Nagina,SC,BahujanSamajParty,568378,BharatiyaJanataParty,401546,166832,19509,989433,1014022,24589,Hindu,,,,,,,,,
Nagpur,GEN,BharatiyaJanataParty,660221,INC,444212,216009,26914,1131347,1161824,30477,Hindu,,,,,,,,,
NainitalUdhamsinghNagar,GEN,BJP,772195,INC,433099,339096,17540,1222834,1248031,25197,Christian,,,,,,,,,
Nalanda,GEN,JanataDal,540888,HindustaniAwamMorcha,284751,256137,47341,872980,913478,40498,Christian,,,,,,,,,
Nalgonda,GEN,INC,52628,TelanganaRashtraSamithi,500346,25682,9830,562804,591512,28708,Hindu,,,,,,,,,
Namakkal,GEN,DravidaMunnetraKazhagam,626293,AllIndiaAnnaDravidaMunnetraKazhagam,361142,265151,35969,1023404,1052530,29126,Muslim,,,,,,,,,
Nanded,GEN,BharatiyaJanataParty,486806,INC,446658,40148,8928,942392,996931,54539,Hindu,,,,,,,,,
Nandurbar,ST,BharatiyaJanataParty,639136,INC,543507,95629,29836,1212479,1256090,43611,Hindu,,,,,,,,,
Nandyal,GEN,YSRCP,720888,TDP,470769,250119,15469,1207126,1221020,13894,Others,,,,,,,,,
Narasapuram,GEN,YSRCP,449234,TDP,416558,31909,37663,903455,962049,58594,Christian,,,,,,,,,
Narasaraopet,GEN,YSRCP,745557,TDP,591555,153978,14265,1351377,1410284,58907,Hindu,,,,,,,,,
Nashik,GEN,ShivSena,563599,NationalistCongressParty,271395,292204,43595,878589,903713,25124,Hindu,,,,,,,,,
Navsari,GEN,BharatiyaJanataParty,972739,INC,283071,689668,16195,1272005,1299140,27135,Hindu,,,,,,,,,
Nawada,GEN,LokJanshaktiParty,495684,RashtriyaJanataDal,347612,148072,27641,870937,901558,30621,Christian,,,,,,,,,
Nellore,GEN,YSRCP,683830,TDP,535259,148571,22394,1241483,1264100,22617,Muslim,,,,,,,,,
NewDelhi,GEN,BharatiyaJanataParty,54206,INC,247702,256504,33825,335733,356481,20748,Hindu,,,,,,,,,
Nilgiris,GEN,DravidaMunnetraKazhagam,547832,AllIndiaAnnaDravidaMunnetraKazhagam,342009,205823,38728,928569,987797,59228,Others,,,,,,,,,
Nizamabad,GEN,BharatiyaJanataParty,480584,TelanganaRashtraSamithi,409709,70875,35136,925429,951745,26316,Hindu,,,,,,,,,
NorthEastDelhi,GEN,BharatiyaJanataParty,787799,INC,421697,366102,38508,1248004,1293367,45363,Hindu,,,,,,,,,
NorthGoa,GEN,BharatiyaJanataParty,244844,INC,164597,80247,23594,433035,481963,48928,Hindu,,,,,,,,,
NorthWestDelhi,SC,BharatiyaJanataParty,848663,AamAadmiParty,294766,553897,39420,1182849,1206378,23529,Hindu,,,,,,,,,
Nowgong,GEN,INC,739724,BharatiyaJanataParty,722972,16752,31471,1494167,1517151,22984,Hindu,,,,,,,,,
Ongole,GEN,YSRCP,739202,TDP,524351,214851,38001,1301554,1327841,26287,Muslim,,,,,,,,,
Osmanabad,GEN,ShivSena,596640,NationalistCongressParty,469074,127566,30936,1096650,1141808,45158,Hindu,,,,,,,,,
OuterManipur,ST,NagaPeople'sFront,363527,BharatiyaJanataParty,289745,73782,38261,691533,707028,15495,Muslim,,,,,,,,,
Palakkad,GEN,INC,399274,CommunistPartyofIndiaMarxist,387637,11637,23380,810291,839649,29358,Hindu,,,,,,,,,
Palamau,SC,BharatiyaJanataParty,755659,RashtriyaJanataDal,278053,477606,12992,1046704,1089221,42517,Hindu,,,,,,,,,
Palghar,ST,ShivSena,580479,BahujanVikasAaghadi,491596,88883,41071,1113146,1156282,43136,Hindu,,,,,,,,,
Pali,GEN,BharatiyaJanataParty,90149,INC,418552,481597,5769,514470,524658,10188,Hindu,,,,,,,,,
Panchmahal,GEN,BharatiyaJanataParty,732136,INC,303595,428541,27141,1062872,1117523,54651,Hindu,,,,,,,,,
Parbhani,GEN,ShivSena,538941,NationalistCongressParty,496742,42199,30180,1065863,1103575,37712,Hindu,,,,,,,,,
PaschimChamparan,GEN,BharatiyaJanataParty,63706,RashtriyaLokSamtaParty,309800,293906,47174,420680,461479,40799,Hindu,,,,,,,,,
Pataliputra,GEN,BharatiyaJanataParty,59557,RashtriyaJanataDal,470236,39321,15549,545342,591730,46388,Hindu,,,,,,,,,
Patan,GEN,BharatiyaJanataParty,633368,INC,439489,193879,23920,1096777,1144596,47819,Hindu,,,,,,,,,
Pathanamthitta,GEN,INC,380927,CommunistPartyofIndiaMarxist,336684,44243,16503,734114,755932,21818,Others,,,,,,,,,
Patiala,GEN,INC,53227,ShiromaniAkaliDal,369309,162718,44139,466675,486204,19529,Christian,,,,,,,,,
PatnaSahib,GEN,BharatiyaJanataParty,67506,INC,322849,284657,24767,415122,438129,23007,Hindu,,,,,,,,,
Peddapalli,SC,TelanganaRashtraSamithi,441321,INC,346141,95180,28697,816159,858472,42313,Muslim,,,,,,,,,
Perambalur,GEN,DravidaMunnetraKazhagam,683697,AllIndiaAnnaDravidaMunnetraKazhagam,280179,403518,15430,979306,992297,12991,Muslim,,,,,,,,,
Phulpur,GEN,BharatiyaJanataParty,544701,SamajwadiParty,372733,171968,17376,934810,974637,39827,Hindu,,,,,,,,,
Pilibhit,GEN,BharatiyaJanataParty,74549,SamajwadiParty,448922,255627,19803,543274,592437,49163,Hindu,,,,,,,,,
Pollachi,GEN,DravidaMunnetraKazhagam,554230,AllIndiaAnnaDravidaMunnetraKazhagam,378347,175883,36374,968951,1012161,43210,Muslim,,,,,,,,,
Ponnani,GEN,IndianUnionMuslimLeague,521824,Independent,328551,193273,24228,874603,927783,53180,Muslim,,,,,,,,,
Porbandar,GEN,BharatiyaJanataParty,563881,INC,334058,229823,31985,929924,968361,38437,Hindu,,,,,,,,,
Pratapgarh,GEN,BharatiyaJanataParty,436291,BahujanSamajParty,318539,117752,38024,792854,839630,46776,Hindu,,,,,,,,,
Puducherry,GEN,INC,444981,AllIndiaNRCongress,247956,197025,14887,707824,723122,15298,Muslim,,,,,,,,,
Pune,GEN,BharatiyaJanataParty,632835,INC,308207,324628,49388,990430,1019571,29141,Hindu,,,,,,,,,
Puri,GEN,BijuJanataDal,538321,BharatiyaJanataParty,526607,11714,25587,1090515,1111401,20886,Christian,,,,,,,,,
Purnia,GEN,JanataDal,632924,INC,369463,263461,15999,1018386,1063259,44873,Others,,,,,,,,,
Purulia,GEN,BJP,668107,TMC,463375,204732,6790,1138272,1173774,35502,Christian,,,,,,,,,
PurviChamparan,GEN,BharatiyaJanataParty,577787,RashtriyaLokSamtaParty,284139,293648,33379,895305,954799,59494,Hindu,,,,,,,,,
RaeBareli,GEN,INC,534918,BharatiyaJanataParty,367740,167178,36229,938887,972294,33407,Others,,,,,,,,,
Raichur,ST,BharatiyaJanataParty,598337,INC,480621,117716,16215,1095173,1105185,10012,Hindu,,,,,,,,,
Raigad,GEN,NationalistCongressParty,486968,ShivSena,455530,31438,46215,988713,1005177,16464,Muslim,,,,,,,,,
Raiganj,GEN,BJP,511652,TMC,451078,60574,38837,1001567,1027808,26241,Muslim,,,,,,,,,
Raigarh,ST,BharatiyaJanataParty,658335,INC,592308,66027,6932,1257575,1275726,18151,Others,,,,,,,,,
Raipur,GEN,BharatiyaJanataParty,837902,INC,489664,348238,12149,1339715,1389213,49498,Hindu,,,,,,,,,
Rajahmundry,GEN,YSRCP,58224,TDP,460390,121634,23170,541784,573603,31819,Others,,,,,,,,,
Rajampet,GEN,YSRCP,72211,TDP,433927,268284,29940,536078,578877,42799,Others,,,,,,,,,
Rajgarh,GEN,BharatiyaJanataParty,823824,INC,392805,431019,18773,1235402,1264402,29000,Hindu,,,,,,,,,
Rajkot,GEN,BharatiyaJanataParty,758645,INC,390238,368407,45274,1194157,1227942,33785,Christian,,,,,,,,,
Rajmahal,ST,JharkhandMuktiMorcha,57830,BharatiyaJanataParty,408635,99195,32893,499358,556551,57193,Muslim,,,,,,,,,
Rajnandgaon,GEN,BharatiyaJanataParty,662387,INC,550421,111966,11057,1223865,1257759,33894,Hindu,,,,,,,,,
Rajsamand,GEN,BharatiyaJanataParty,86339,INC,311123,551916,31133,428595,458477,29882,Hindu,,,,,,,,,
Ramanathapuram,GEN,IndianUnionMuslimLeague,469943,BharatiyaJanataParty,342821,127122,35624,848388,874013,25625,Hindu,,,,,,,,,
Rampur,GEN,SamajwadiParty,559177,BharatiyaJanataParty,449180,109997,36007,1044364,1101577,57213,Muslim,,,,,,,,,
Ramtek,SC,ShivSena,597126,INC,470343,126783,31350,1098819,1115054,16235,Hindu,,,,,,,,,
Ranaghat,SC,BJP,783253,TMC,549825,233428,25124,1358202,1377495,19293,Muslim,,,,,,,,,
Ranchi,GEN,BharatiyaJanataParty,76828,INC,423802,283026,21674,522304,560023,37719,Hindu,,,,,,,,,
Ratlam,ST,BharatiyaJanataParty,696103,INC,605467,90636,35112,1336682,1395097,58415,Hindu,,,,,,,,,
Ratnagiri,GEN,ShivSena,45822,MaharashtraSwabhimanPaksha,279700,178322,45038,370560,397960,27400,Hindu,,,,,,,,,
Raver,GEN,BharatiyaJanataParty,655386,INC,319504,335882,28167,1003057,1041904,38847,Christian,,,,,,,,,
Rewa,GEN,BharatiyaJanataParty,583745,INC,270938,312807,36910,891593,906883,15290,Hindu,,,,,,,,,
Robertsganj,SC,ApnaDal,447914,SamajwadiParty,393578,54336,41755,883247,930424,47177,Muslim,,,,,,,,,
Rohtak,GEN,BharatiyaJanataParty,573845,INC,566342,7503,5734,1145921,1199968,54047,Hindu,,,,,,,,,
Sabarkantha,GEN,BharatiyaJanataParty,71984,INC,432997,268987,13679,518660,531138,12478,Christian,,,,,,,,,
Sagar,GEN,BharatiyaJanataParty,646231,INC,340689,305542,30045,1016965,1042241,25276,Hindu,,,,,,,,,
Saharanpur,GEN,BahujanSamajParty,514139,BharatiyaJanataParty,491722,22417,29829,1035690,1082632,46942,Christian,,,,,,,,,
Salem,GEN,DravidaMunnetraKazhagam,66302,AllIndiaAnnaDravidaMunnetraKazhagam,459376,146926,23665,549343,569602,20259,Christian,,,,,,,,,
Salempur,GEN,BharatiyaJanataParty,467241,BahujanSamajParty,354764,112477,31226,853231,904666,51435,Hindu,,,,,,,,,
Samastipur,SC,LokJanshaktiParty,562443,INC,310800,251643,15510,888753,913708,24955,Muslim,,,,,,,,,
Sambalpur,GEN,BharatiyaJanataParty,473770,BijuJanataDal,464608,9162,42529,980907,1004218,23311,Hindu,,,,,,,,,
Sambhal,GEN,SamajwadiParty,6586,BharatiyaJanataParty,483180,174826,10055,499821,556698,56877,Muslim,,,,,,,,,
Sangli,GEN,BharatiyaJanataParty,58995,SwabhimaniPaksha,344643,164352,21391,425029,473332,48303,Hindu,,,,,,,,,
Sangrur,GEN,AamAadmiParty,413561,INC,303350,110211,34033,750944,806487,55543,Christian,,,,,,,,,
SantKabirNagar,GEN,BharatiyaJanataParty,467543,BahujanSamajParty,431794,35749,16256,915593,952653,37060,Hindu,,,,,,,,,
Saran,GEN,BharatiyaJanataParty,499342,RashtriyaJanataDal,360913,138429,7581,867836,891227,23391,Hindu,,,,,,,,,
Sarguja,ST,BharatiyaJanataParty,663711,INC,505838,157873,9771,1179320,1205004,25684,Hindu,,,,,,,,,
Sasaram,SC,BharatiyaJanataParty,494800,INC,329055,165745,43079,866934,918215,51281,Christian,,,,,,,,,
Satara,GEN,NationalistCongressParty,57926,ShivSena,452498,126528,36625,547049,561968,14919,Christian,,,,,,,,,
Satna,GEN,BharatiyaJanataParty,588753,INC,357280,231473,26773,972806,1002206,29400,Hindu,,,,,,,,,
Secunderabad,GEN,BharatiyaJanataParty,384780,TelanganaRashtraSamithi,322666,62114,10107,717553,762484,44931,Hindu,,,,,,,,,
Serampore,GEN,TMC,637707,BJP,539171,98536,43020,1219898,1245926,26028,Muslim,,,,,,,,,
Shahdol,ST,BharatiyaJanataParty,747977,INC,344644,403333,36544,1129165,1171844,42679,Hindu,,,,,,,,,
Shahjahanpur,SC,BharatiyaJanataParty,688990,BahujanSamajParty,420572,268418,28037,1137599,1159744,22145,Hindu,,,,,,,,,
Sheohar,GEN,BharatiyaJanataParty,68678,RashtriyaJanataDal,268318,340360,20659,357655,410041,52386,Others,,,,,,,,,
Shillong,ST,INC,419689,UnitedDemocraticParty,267256,152433,43544,730489,771682,41193,Hindu,,,,,,,,,
Shimla,SC,BharatiyaJanataParty,66183,INC,278668,327515,13239,358090,390423,32333,Hindu,,,,,,,,,
Shimoga,GEN,BharatiyaJanataParty,729872,JanataDalSecular,506512,223360,42082,1278466,1312893,34427,Hindu,,,,,,,,,
Shirdi,SC,ShivSena,486820,INC,366625,120195,45871,899316,915527,16211,Others,,,,,,,,,
Shirur,GEN,NationalistCongressParty,635830,ShivSena,577347,58483,13710,1226887,1285629,58742,Others,,,,,,,,,
Shrawasti,GEN,BahujanSamajParty,441771,BharatiyaJanataParty,436451,5320,11065,889287,906044,16757,Hindu,,,,,,,,,
Sidhi,GEN,BharatiyaJanataParty,698342,INC,411818,286524,47847,1158007,1203076,45069,Hindu,,,,,,,,,
Sikar,GEN,BharatiyaJanataParty,772104,INC,474948,297156,48650,1295702,1321412,25710,Hindu,,,,,,,,,
Sikkim,GEN,SikkimKrantikariMorcha,166922,SikkimDemocraticFront,154489,12433,39597,361008,396018,35010,Others,,,,,,,,,
Silchar,GEN,BharatiyaJanataParty,499414,INC,417818,81596,23730,940962,964799,23837,Hindu,,,,,,,,,
Singhbhum,SC,INC,431815,BharatiyaJanataParty,359660,72155,19550,811025,863466,52441,Hindu,,,,,,,,,
Sirsa,SC,BharatiyaJanataParty,714351,INC,404433,309918,15343,1134127,1173450,39323,Hindu,,,,,,,,,
Sitamarhi,GEN,JanataDal,567745,RashtriyaJanataDal,317206,250539,14883,899834,953440,53606,Others,,,,,,,,,
Sitapur,GEN,BharatiyaJanataParty,514528,BahujanSamajParty,413695,100833,8918,937141,978621,41480,Hindu,,,,,,,,,
Sivaganga,GEN,INC,566104,BharatiyaJanataParty,233860,332244,14613,814577,855216,40639,Muslim,,,,,,,,,
Siwan,GEN,JanataDal,448473,RashtriyaJanataDal,331515,116958,7594,787582,839352,51770,Christian,,,,,,,,,
Solapur,SC,BharatiyaJanataParty,524985,INC,366377,158608,18192,909554,956115,46561,Hindu,,,,,,,,,
Sonipat,GEN,BharatiyaJanataParty,587664,INC,422800,164864,9952,1020416,1041037,20621,Hindu,,,,,,,,,
SouthDelhi,GEN,BharatiyaJanataParty,68714,AamAadmiParty,319971,367043,22065,410750,469434,58684,Hindu,,,,,,,,,
SouthGoa,GEN,INC,21561,BharatiyaJanataParty,191806,9755,33264,246631,271310,24679,Muslim,,,,,,,,,
Srikakulam,GEN,TDP,534544,YSRCP,527891,6653,11143,1073578,1118643,45065,Others,,,,,,,,,
Srinagar,GEN,JammuKashmirNationalConference,16750,JammuandKashmirPeoplesDemocraticParty,36700,70050,24157,77607,96350,18743,Hindu,,,,,,,,,
Sriperumbudur,SC,DravidaMunnetraKazhagam,793281,PattaliMakkalKatchi,285326,507955,24399,1103006,1145813,42807,Muslim,,,,,,,,,
Sultanpur,GEN,BharatiyaJanataParty,459196,BahujanSamajParty,444670,14526,32175,936041,952294,16253,Hindu,,,,,,,,,
Sundargarh,ST,BharatiyaJanataParty,5056,BijuJanataDal,276991,223065,5216,287263,319406,32143,Hindu,,,,,,,,,
Supaul,GEN,JanataDal,597377,INC,330524,266853,15253,943154,990237,47083,Hindu,,,,,,,,,
Surat,GEN,BharatiyaJanataParty,795651,INC,247421,548230,20058,1063130,1112408,49278,Hindu,,,,,,,,,
Surendranagar,GEN,BharatiyaJanataParty,631844,INC,354407,277437,32017,1018268,1053802,35534,Hindu,,,,,,,,,
Tamluk,GEN,TMC,724433,BJP,534268,190165,15925,1274626,1312022,37396,Others,,,,,,,,,
TehriGarhwal,GEN,BJP,565333,INC,264747,300586,41708,871788,882094,10306,Muslim,,,,,,,,,
Tenkasi,GEN,DravidaMunnetraKazhagam,476156,AllIndiaAnnaDravidaMunnetraKazhagam,355870,120286,11989,844015,901668,57653,Others,,,,,,,,,
Tezpur,GEN,BharatiyaJanataParty,684166,INC,441325,242841,48232,1173723,1184793,11070,Muslim,,,,,,,,,
Thane,GEN,ShivSena,740969,NationalistCongressParty,328824,412145,11821,1081614,1140839,59225,Hindu,,,,,,,,,
Thanjavur,SC,DravidaMunnetraKazhagam,588978,TamilMaanilaCongressM,220849,368129,18349,828176,881241,53065,Hindu,,,,,,,,,
Theni,GEN,AllIndiaAnnaDravidaMunnetraKazhagam,54813,INC,428120,76693,23602,506535,560365,53830,Muslim,,,,,,,,,
Thiruvallur,GEN,INC,767292,AllIndiaAnnaDravidaMunnetraKazhagam,410337,356955,43710,1221339,1248435,27096,Christian,,,,,,,,,
Thiruvananthapuram,GEN,INC,416131,BharatiyaJanataParty,316142,99989,15698,747971,798157,50186,Muslim,,,,,,,,,
Thoothukkudi,GEN,DravidaMunnetraKazhagam,563143,BharatiyaJanataParty,215934,347209,8974,788051,809507,21456,Others,,,,,,,,,
Thrissur,GEN,INC,41589,CommunistPartyofIndia,321456,93633,31389,394434,433508,39074,Hindu,,,,,,,,,
Tikamgarh,SC,BharatiyaJanataParty,672248,INC,324189,348059,39735,1036172,1056959,20787,Hindu,,,,,,,,,
Tiruchirappalli,GEN,INC,621285,DesiyaMurpokkuDravidaKazhagam,161999,459286,35800,819084,865964,46880,Christian,,,,,,,,,
Tirunelveli,GEN,DravidaMunnetraKazhagam,522623,AllIndiaAnnaDravidaMunnetraKazhagam,337166,185457,41326,901115,921581,20466,Christian,,,,,,,,,
Tirupati,SC,YSRCP,722877,TDP,494501,228376,23940,1241318,1281975,40657,Hindu,,,,,,,,,
Tiruppur,GEN,CommunistPartyofIndia,58725,AllIndiaAnnaDravidaMunnetraKazhagam,415357,93368,11407,485489,497570,12081,Christian,,,,,,,,,
Tiruvannamalai,GEN,DravidaMunnetraKazhagam,666272,AllIndiaAnnaDravidaMunnetraKazhagam,362085,304187,47486,1075843,1121689,45846,Others,,,,,,,,,
TonkSawaiMadhopur,GEN,BharatiyaJanataParty,644319,INC,533028,111291,9244,1186591,1215137,28546,Hindu,,,,,,,,,
TripuraEast,ST,BharatiyaJanataParty,482126,INC,277836,204290,21097,781059,804067,23008,Hindu,,,,,,,,,
TripuraWest,GEN,BharatiyaJanataParty,573532,INC,267843,305689,40632,882007,894887,12880,Hindu,,,,,,,,,
Tumkur,GEN,BharatiyaJanataParty,596127,JanataDalSecular,582788,13339,25464,1204379,1251443,47064,Hindu,,,,,,,,,
Tura,ST,NationalPeople'sParty,34455,INC,240425,64030,5652,280532,338131,57599,Christian,,,,,,,,,
Udaipur,ST,BharatiyaJanataParty,871548,INC,433634,437914,20590,1325772,1376589,50817,Hindu,,,,,,,,,
Udhampur,GEN,BharatiyaJanataParty,724311,INC,367059,357252,6272,1097642,1139640,41998,Hindu,,,,,,,,,
UdupiChikmagalur,GEN,BharatiyaJanataParty,718916,JanataDalSecular,369317,349599,44403,1132636,1192042,59406,Hindu,,,,,,,,,
Ujiarpur,GEN,BharatiyaJanataParty,543906,RashtriyaLokSamtaParty,266628,277278,10340,820874,879574,58700,Hindu,,,,,,,,,
Ujjain,SC,BharatiyaJanataParty,791663,INC,426026,365637,44492,1262181,1320802,58621,Hindu,,,,,,,,,
Uluberia,GEN,TMC,694945,BJP,479586,215359,33444,1207975,1244074,36099,Muslim,,,,,,,,,
Unnao,GEN,BharatiyaJanataParty,73507,SamajwadiParty,302551,400956,17717,393775,420938,27163,Hindu,,,,,,,,,
UttaraKannada,GEN,BharatiyaJanataParty,78642,JanataDalSecular,306393,479649,33907,418942,447743,28801,Hindu,,,,,,,,,
Vadodara,GEN,BharatiyaJanataParty,883719,INC,294542,589177,9302,1187563,1226524,38961,Hindu,,,,,,,,,
Vaishali,GEN,LokJanshaktiParty,568215,RashtriyaJanataDal,333631,234584,16912,918758,947638,28880,Hindu,,,,,,,,,
ValmikiNagar,GEN,JanataDal,62660,INC,248044,354616,20871,331575,388714,57139,Muslim,,,,,,,,,
Valsad,ST,BharatiyaJanataParty,771980,INC,418183,353797,41071,1231234,1280551,49317,Hindu,,,,,,,,,
Varanasi,GEN,BharatiyaJanataParty,674664,SamajwadiParty,195159,479505,23964,893787,952608,58821,Hindu,,,,,,,,,
Vatakara,GEN,INC,526755,CommunistPartyofIndiaMarxist,442092,84663,15363,984210,1000647,16437,Others,,,,,,,,,
Vellore,SC,DravidaMunnetraKazhagam,485340,AllIndiaAnnaDravidaMunnetraKazhagam,477199,8141,15480,978019,999832,21813,Christian,,,,,,,,,
Vidisha,GEN,BharatiyaJanataParty,85322,INC,349938,503084,7586,442846,486866,44020,Hindu,,,,,,,,,
Vijayawada,GEN,TDP,575498,YSRCongressParty,566772,8726,32680,1174950,1195336,20386,Hindu,,,,,,,,,
Viluppuram,GEN,DravidaMunnetraKazhagam,559585,PattaliMakkalKatchi,431517,128068,33350,1024452,1079562,55110,Christian,,,,,,,,,
Virudhunagar,GEN,INC,470883,DesiyaMurpokkuDravidaKazhagam,316329,154554,11527,798739,840132,41393,Hindu,,,,,,,,,
Visakhapatnam,GEN,YSRCP,436906,TDP,432492,4414,15001,884399,930819,46420,Christian,,,,,,,,,
Vizianagaram,GEN,YSRCP,578418,TDP,530382,48036,42457,1151257,1188480,37223,Others,,,,,,,,,
Warangal,SC,TelanganaRashtraSamithi,612498,INC,262200,350298,20171,894869,947225,52356,Hindu,,,,,,,,,
Wardha,GEN,BharatiyaJanataParty,578364,INC,391173,187191,16340,985877,1034019,48142,Hindu,,,,,,,,,
Wayanad,GEN,INC,76367,CommunistPartyofIndia,274597,431770,31161,382125,405672,23547,Muslim,,,,,,,,,
WestDelhi,GEN,BharatiyaJanataParty,865648,INC,287162,578486,9472,1162282,1192332,30050,Hindu,,,,,,,,,
Yavatmal,GEN,ShivSena,54298,INC,424159,117939,16875,495332,512627,17295,Hindu,,,,,,,,,
Zahirabad,GEN,TelanganaRashtraSamithi,434244,INC,428015,6229,13449,875708,921987,46279,Hindu,,,,,,,,,
Adilabad,ST,TelanganaRashtraSamithi,430847,INC,259557,171290,31465,721869,765538,43669,Hindu,,,,,,,,,
Agra,SC,BharatiyaJanataParty,583716,BahujanSamajParty,283453,300263,29463,896632,955617,58985,Hindu,,,,,,,,,
AhmedabadEast,GEN,BharatiyaJanataParty,633582,INC,306949,326633,29827,970358,1006917,36559,Hindu,,,,,,,,,
AhmedabadWest,SC,BharatiyaJanataParty,617104,INC,296793,320311,26707,940604,978823,38219,Hindu,,,,,,,,,
Ahmednagar,GEN,BharatiyaJanataParty,605185,NationalistCongressParty,396063,209122,43434,1044682,1060791,16109,Hindu,,,,,,,,,
Ajmer,GEN,BharatiyaJanataParty,637874,INC,465891,171983,20724,1124489,1159080,34591,Hindu,,,,,,,,,
Akbarpur,GEN,BharatiyaJanataParty,481584,BahujanSamajParty,202587,278997,43401,727572,765631,38059,Muslim,,,,,,,,,
Akola,GEN,BharatiyaJanataParty,456472,INC,253356,203116,49831,759659,786033,26374,Hindu,,,,,,,,,
Alappuzha,GEN,INC,462525,CommunistPartyof,443118,19407,41620,947263,999909,52646,Muslim,,,,,,,,,
Alathur,SC,CommunistPartyofIndia,411808,INC,374496,37312,33739,820043,857251,37208,Christian,,,,,,,,,
Aligarh,GEN,BharatiyaJanataParty,514622,BahujanSamajParty,227886,286736,30666,773174,824740,51566,Hindu,,,,,,,,,
Alipurduars,SC,AllIndiaTrinamool,362453,RevolutionarySocialistParty,341056,21397,28927,732436,785025,52589,Hindu,,,,,,,,,
Allahabad,GEN,BharatiyaJanataParty,313772,SamajwadiParty,251763,62009,10258,575793,595110,19317,Others,,,,,,,,,
Almora,SC,BharatiyaJanataParty,348186,INC,252496,95690,11860,612542,642256,29714,Hindu,,,,,,,,,
Alwar,GEN,BharatiyaJanataParty,642278,INC,358383,283895,40422,1041083,1072298,31215,Hindu,,,,,,,,,
Amalapuram,SC,TeluguDesamParty,594547,YSRCongressParty,473971,120576,39293,1107811,1143619,35808,Others,,,,,,,,,
Ambala,SC,BharatiyaJanataParty,612121,INC,272047,340074,13212,897380,915811,18431,Hindu,,,,,,,,,
AmbedkarNagar,GEN,BharatiyaJanataParty,432104,BahujanSamajParty,292675,139429,10203,734982,792920,57938,Muslim,,,,,,,,,
Amethi,GEN,INC,408651,BharatiyaJanataParty,300748,107903,24965,734364,753126,18762,Hindu,,,,,,,,,
Amravati,SC,ShivSena,467212,NationalistCongressParty,329280,137932,24041,820533,841145,20612,Hindu,,,,,,,,,
Amreli,GEN,BharatiyaJanataParty,436715,INC,280483,156232,46497,763695,814139,50444,Hindu,,,,,,,,,
Amritsar,GEN,INC,482876,BharatiyaJanataParty,380106,102770,38484,901466,952119,50653,Others,,,,,,,,,
Amroha,GEN,BharatiyaJanataParty,528880,SamajwadiParty,370666,158214,21892,921438,967236,45798,Hindu,,,,,,,,,
Anakapalli,GEN,TeluguDesamParty,568463,YSRCongressParty,520531,47932,39606,1128600,1149969,21369,Others,,,,,,,,,
Anand,GEN,BharatiyaJanataParty,490829,INC,427403,63426,24520,942752,979632,36880,Hindu,,,,,,,,,
AnandpurSahib,GEN,ShiromaniAkaliDal,347394,INC,323697,23697,21806,692897,728694,35797,Muslim,,,,,,,,,
Anantapur,GEN,TeluguDesamParty,606509,YSRCongressParty,545240,61269,28296,1180045,1220638,40593,Hindu,,,,,,,,,
Anantnag,GEN,JammuandKashmirParty,200429,Jammu&Kashmir,135012,65417,34550,369991,384426,14435,Others,,,,,,,,,
AndamanandNicobarIslands,GEN,BharatiyaJanataParty,90969,INC,83157,7812,13389,187515,216852,29337,Hindu,,,,,,,,,
Aonla,GEN,BharatiyaJanataParty,409907,SamajwadiParty,271478,138429,23289,704674,723405,18731,Hindu,,,,,,,,,
